2016-03-19 01:36:34,617 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RESTExampleUMKC:RESTExampleUMKC:0.0.1-SNAPSHOT @ C:\Users\sushm\Lab6\RESTExampleUMKC\pom.xml.
2016-03-19 01:36:34,632 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:36:34,637 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:36:34,641 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:34,646 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:34,684 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:36:34,689 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:36:34,696 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:34,702 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:35,585 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RESTExampleUMKC/src
2016-03-19 01:36:35,586 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /RESTExampleUMKC/src/test/java because it overlaps with /RESTExampleUMKC/src
2016-03-19 01:36:35,713 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:36:35,721 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:36:35,728 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:35,732 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:35,941 [Worker-52] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for RESTExampleUMKC
2016-03-19 01:36:35,946 [Worker-52] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-03-19 01:36:36,076 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:36:36,082 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
2016-03-19 01:36:36,092 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:36,099 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:36:36,358 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 01:36:36,361 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sushm\Lab6\RESTExampleUMKC\src\main\resources
2016-03-19 01:36:36,364 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
